0,clipboard,baking_oven,bar_stool,basket,blender,bread_maker,cabinets,can,can_opener,candle,card_catalog,cereal_bowl,chair,cinnamon,cloth,coffee_maker,coffee_mug,coffee_pot,container,range,cooking_utensil,corner_cupboard,counter,cover,cup,dirty_dishes,dish,dishwasher,drawer,dustbin,exhaust_fan,faucet,fire_extinguisher,flooring,flour,food,fork,fridge,peas,garbage_can,garlic,george_foreman_grill,glass,glass_fronted_cupboard,display_cabinet,grape,grill,hinged_door,icebox,ingredients,iron,kettle,knife,ladle,large_container,linoleum,liquor_glass,meat_thermometer,microwave,milk,oil,oven_mitt,pan,pantry,pepper_and_salt,pie,plastic,plate,plumbing,pot,potato,potato_masher,rolling_pin,salad_bowl,saucepan,saucer,serving_trolley,sideboard,sink,small_appliance,spatula,spice_rack,pad,step_chair,storage_pan,sugar,table,tablespoon,tea_towels,teaspoon,telephone_directory,textile,trash,trash_can,tub,vanity_case,wash_cloth,window_curtain
clipboard,1.0,0.03595464304089546,0.21583868563175201,0.15584418177604675,0.13368800282478333,0.0935581624507904,0.1902848184108734,0.08655372262001038,0.1468391716480255,0.07299935817718506,0.29399314522743225,0.1408824622631073,0.19163167476654053,0.02070290967822075,0.11468442529439926,0.12342353910207748,0.3858869969844818,0.09148335456848145,0.21501898765563965,-0.08933164924383163,0.13487926125526428,0.13983136415481567,0.13926829397678375,0.031714096665382385,0.09459690749645233,0.03328191861510277,-0.06020862236618996,0.07738427817821503,0.3109448552131653,0.19055980443954468,0.022783325985074043,0.04587501287460327,0.19160209596157074,0.05630175396800041,0.011904610320925713,0.007581740617752075,0.012054996564984322,0.11155848205089569,0.028567776083946228,0.19777034223079681,0.021099358797073364,-0.07698867470026016,0.12927846610546112,0.16193771362304688,0.09550042450428009,0.07993701100349426,-0.03361501544713974,0.13022518157958984,0.06865331530570984,-0.03235985338687897,-0.0018169358372688293,-0.023473568260669708,0.17190726101398468,0.07755552232265472,0.15624573826789856,0.08893737941980362,0.16750729084014893,0.13795438408851624,-0.06197044998407364,0.0035265088081359863,0.023629160597920418,0.15367461740970612,0.03541618958115578,0.12946467101573944,0.08102967590093613,0.035533156245946884,0.17707565426826477,0.12126579880714417,-0.019003819674253464,0.016256183385849,-0.02161514014005661,0.12570595741271973,0.1524660736322403,0.08024358004331589,0.060473669320344925,0.10782646387815475,0.0635947585105896,0.18670380115509033,0.014859654009342194,0.11625777184963226,0.18872520327568054,0.14826376736164093,0.36602073907852173,0.12235807627439499,0.24228115379810333,0.008871713653206825,0.2864384651184082,0.10935163497924805,0.1847512125968933,0.05051888898015022,0.266657292842865,-0.013961420394480228,0.18197426199913025,0.23114877939224243,0.015901077538728714,0.1976909041404724,0.03693582862615585,0.1656823605298996
baking_oven,0.03595464304089546,1.0,0.31514617800712585,0.2345917820930481,0.3366466760635376,0.6361460089683533,0.3651607632637024,0.05874953046441078,0.1765131652355194,0.21974781155586243,0.10495372116565704,0.5083216428756714,0.07162289321422577,0.32423830032348633,0.06279812753200531,0.40133577585220337,0.42300474643707275,0.3499128520488739,0.16337531805038452,0.09777866303920746,0.6864684224128723,0.7011400461196899,0.2377765029668808,0.01240292377769947,0.15747325122356415,0.5726975202560425,0.5560626983642578,0.46853795647621155,0.219093918800354,0.14599505066871643,0.23587292432785034,0.24167582392692566,0.16922888159751892,0.20284847915172577,0.4183140695095062,0.4457482099533081,0.18968208134174347,0.530887246131897,0.24652789533138275,0.15059985220432281,0.3423037827014923,0.4654815196990967,0.14382675290107727,0.5689576864242554,0.1965216100215912,0.02513779141008854,0.6370037794113159,0.3790273666381836,0.44810497760772705,0.4727814793586731,0.11680186539888382,0.4902889132499695,0.22950197756290436,0.32271185517311096,0.5183780789375305,0.25372326374053955,0.28476443886756897,0.5176968574523926,0.5493371486663818,0.18477408587932587,0.12210177630186081,0.34849053621292114,0.45796504616737366,0.4877575635910034,0.5695125460624695,0.5181494355201721,0.01349451020359993,0.33990854024887085,0.27395573258399963,0.4345945119857788,0.3555852472782135,0.49337801337242126,0.2698436379432678,0.4949319064617157,0.49956998229026794,0.21513262391090393,0.5369385480880737,0.31048357486724854,0.2387854903936386,0.4140801727771759,0.40746039152145386,0.4006289839744568,0.07890262454748154,0.4664320945739746,0.4292793869972229,0.22726097702980042,0.25910520553588867,0.276445597410202,0.47651994228363037,0.24709215760231018,0.0749436765909195,0.0333968922495842,0.1097928136587143,0.15674440562725067,0.31469428539276123,0.1966862678527832,0.3776347041130066,0.4383847713470459
bar_stool,0.21583868563175201,0.31514617800712585,1.0,0.17135153710842133,0.13368839025497437,0.1404273509979248,0.4102664291858673,0.05056316778063774,0.08664263784885406,0.12764972448349,0.13662728667259216,0.3270127773284912,0.6539146900177002,-0.014017833396792412,0.10908136516809464,0.27106308937072754,0.4932272732257843,0.3043443560600281,0.1277744472026825,0.08045275509357452,0.2726559638977051,0.4804248511791229,0.4896358251571655,0.029495855793356895,0.10395190119743347,0.37319421768188477,0.21060064435005188,0.2891283631324768,0.33527153730392456,0.1836634874343872,0.17674291133880615,0.21027840673923492,0.12016483396291733,0.3024357557296753,-0.025863196700811386,0.17332829535007477,0.16131402552127838,0.26797449588775635,-0.04709611088037491,0.17199444770812988,-0.023335911333560944,0.206145778298378,0.22005760669708252,0.5990020036697388,0.37969833612442017,0.07937625050544739,0.3840966522693634,0.3743205666542053,0.22759217023849487,0.06656584143638611,0.08218702673912048,0.1923944056034088,0.13048316538333893,0.10956369340419769,0.47490543127059937,0.28020983934402466,0.6282264590263367,0.21269086003303528,0.15246137976646423,0.0006516687572002411,-0.0022114962339401245,0.13167303800582886,0.04922858253121376,0.2887917160987854,0.22707219421863556,0.0665886402130127,0.004480376839637756,0.2755027413368225,0.050746507942676544,0.17998355627059937,0.01585175096988678,0.1410662978887558,0.12735992670059204,0.3765377402305603,0.15568216145038605,0.23037701845169067,0.5574911832809448,0.5755578279495239,0.2543417811393738,0.16737419366836548,0.1985137164592743,0.3931161165237427,0.2662294805049896,0.38918718695640564,0.38307011127471924,0.01952653005719185,0.6496673822402954,0.12424983084201813,0.3160293996334076,0.06557988375425339,0.13277725875377655,0.05036858469247818,0.07886971533298492,0.1982003003358841,0.36265048384666443,0.24303311109542847,0.2399614006280899,0.4551446735858917
basket,0.15584418177604675,0.2345917820930481,0.17135153710842133,1.0,0.10620564222335815,0.1778847873210907,0.18469631671905518,0.07650960981845856,0.07568101584911346,0.10752460360527039,0.07625836879014969,0.3156100809574127,0.17961212992668152,0.04791934788227081,0.15643110871315002,0.1274832934141159,0.29385676980018616,0.05611616000533104,0.36008188128471375,0.14703011512756348,0.276679128408432,0.23987984657287598,0.1685531884431839,-0.0194457545876503,0.15547174215316772,0.1766049563884735,0.23547913134098053,0.19897793233394623,0.22903074324131012,0.3377443552017212,0.14346586167812347,0.11703677475452423,-0.021903429180383682,0.04088456928730011,0.14379674196243286,0.22555124759674072,0.10827343910932541,0.24302850663661957,0.14168447256088257,0.3496060073375702,0.01804150640964508,0.1300283670425415,0.13881085813045502,0.17474713921546936,0.10439164936542511,0.11990287154912949,0.1042230874300003,0.1559370756149292,0.19153659045696259,0.11895082145929337,0.09369146823883057,0.2240155041217804,0.08378984034061432,0.21095216274261475,0.3302794396877289,-0.003370562568306923,0.13335102796554565,0.1788071095943451,0.11531583964824677,0.09812797605991364,0.031877193599939346,0.21691516041755676,0.17676518857479095,0.30342480540275574,0.14702141284942627,0.15071700513362885,0.1574210524559021,0.22870495915412903,-0.04394172132015228,0.1973700225353241,0.10912345349788666,0.18987980484962463,0.1050928458571434,0.27076274156570435,0.22565218806266785,0.2186930924654007,0.14561894536018372,0.24199098348617554,0.16905303299427032,0.23461079597473145,0.13843677937984467,0.2611590027809143,0.0849524438381195,0.1667919158935547,0.32950934767723083,0.04375988245010376,0.25827884674072266,0.09314519166946411,0.2161121666431427,0.035360828042030334,-0.029683813452720642,0.12445077300071716,0.25034570693969727,0.34209808707237244,0.30681848526000977,0.19398030638694763,0.174784317612648,0.14485350251197815
blender,0.13368800282478333,0.3366466760635376,0.13368839025497437,0.10620564222335815,1.0,0.3547922372817993,0.17240405082702637,0.06722269207239151,0.29000324010849,0.12901300191879272,0.10935066640377045,0.30046188831329346,0.057071998715400696,0.19070595502853394,0.00013517588376998901,0.4409133791923523,0.29573678970336914,0.24813149869441986,0.23638901114463806,0.010744929313659668,0.5027612447738647,0.3220669627189636,0.09948524087667465,0.010952398180961609,0.19942179322242737,0.30763310194015503,0.23045393824577332,0.39026254415512085,0.1831255704164505,0.19856944680213928,0.22584563493728638,0.2515619397163391,0.1994357705116272,-0.004633031785488129,0.24190878868103027,0.10829155892133713,0.19855059683322906,0.37150514125823975,0.14862261712551117,0.20698300004005432,0.19947698712348938,0.1200363039970398,0.20560765266418457,0.19270575046539307,0.004759062081575394,0.15047739446163177,0.22313761711120605,0.05488087236881256,0.2970539927482605,0.2701660096645355,0.05809058994054794,0.39198803901672363,0.24753087759017944,0.3474578857421875,0.27649715542793274,0.08889363706111908,0.23060092329978943,0.3916052281856537,0.36083799600601196,0.20028428733348846,0.10166855901479721,0.2015780508518219,0.29465243220329285,0.21494418382644653,0.29721081256866455,0.13248857855796814,0.12191808223724365,0.1537855863571167,0.11641605943441391,0.29349327087402344,0.0862763524055481,0.500804603099823,0.22655948996543884,0.25278598070144653,0.49702128767967224,0.2666826844215393,0.1594172716140747,0.12738017737865448,0.18978512287139893,0.38440513610839844,0.4195665121078491,0.27896684408187866,0.04699023440480232,0.2505253553390503,0.2864369750022888,0.1651313751935959,0.10604792833328247,0.3734801709651947,0.24666453897953033,0.3347076177597046,0.019926361739635468,-0.018707402050495148,0.10421589761972427,0.18836739659309387,0.2573000192642212,0.16706591844558716,0.16594649851322174,0.10128936171531677
bread_maker,0.0935581624507904,0.6361460089683533,0.1404273509979248,0.1778847873210907,0.3547922372817993,1.0,0.22445935010910034,-0.06852670013904572,0.307685524225235,0.15756770968437195,0.013097806833684444,0.3755968511104584,0.04455502703785896,0.2104441523551941,0.12967270612716675,0.4458729028701782,0.2859947681427002,0.27925845980644226,0.10374561697244644,-0.034314025193452835,0.5372259616851807,0.4688352644443512,0.09596901386976242,-0.05327378958463669,0.10671595484018326,0.35792291164398193,0.3648465871810913,0.39933162927627563,0.14162659645080566,0.1554974615573883,0.20992717146873474,0.1610632985830307,0.244578555226326,0.14596566557884216,0.41221487522125244,0.26878461241722107,0.11875779181718826,0.3633645176887512,0.08400385081768036,0.18804875016212463,0.19187721610069275,0.3113684356212616,0.08585526049137115,0.35775500535964966,0.0215395949780941,0.0308713149279356,0.31966841220855713,0.2376500964164734,0.32992392778396606,0.27933773398399353,0.04194224625825882,0.29303303360939026,0.25420302152633667,0.24962235987186432,0.3270376920700073,0.19043725728988647,0.10711906850337982,0.3791002631187439,0.3649631142616272,0.19535134732723236,0.013665135949850082,0.3218727707862854,0.345007061958313,0.36918574571609497,0.39532268047332764,0.4666052758693695,0.057325560599565506,0.2083071768283844,0.2246248722076416,0.25946590304374695,0.21491244435310364,0.44111722707748413,0.4219362735748291,0.32283711433410645,0.3513985276222229,0.17236928641796112,0.24722392857074738,0.1606728434562683,0.11669832468032837,0.5199992656707764,0.3488444983959198,0.2913265526294708,0.05533026531338692,0.3232106566429138,0.3052358031272888,0.17613109946250916,0.08356077969074249,0.1749706268310547,0.44937121868133545,0.160881906747818,0.03895650431513786,0.10948843508958817,0.08314985781908035,0.21961332857608795,0.21815377473831177,0.21265453100204468,0.25675690174102783,0.3518184423446655
cabinets,0.1902848184108734,0.3651607632637024,0.4102664291858673,0.18469631671905518,0.17240405082702637,0.22445935010910034,1.0,0.12119659036397934,0.22223250567913055,0.024149766191840172,0.34150564670562744,0.4156615138053894,0.26101821660995483,0.08884475380182266,0.09487351775169373,0.25599825382232666,0.5906080603599548,0.12054356187582016,0.32612815499305725,0.14191320538520813,0.31298479437828064,0.674640953540802,0.3500477373600006,0.043093178421258926,0.059667520225048065,0.355593204498291,0.19275307655334473,0.428345650434494,0.6884375810623169,0.3280474543571472,0.24006783962249756,0.31902259588241577,0.17832216620445251,0.46268871426582336,0.06273775547742844,0.12270614504814148,0.028595570474863052,0.5378667116165161,0.01685049757361412,0.33108824491500854,0.07155648618936539,0.21654218435287476,0.28614917397499084,0.6208189725875854,0.4351051151752472,0.048592716455459595,0.17565929889678955,0.5684217214584351,0.45327556133270264,0.22545315325260162,0.05739763379096985,0.19363029301166534,0.09595833718776703,0.057003531605005264,0.6810282468795776,0.37021785974502563,0.35293734073638916,0.28760892152786255,0.28345969319343567,0.04567137360572815,-0.019598528742790222,0.1174289882183075,0.08710703253746033,0.6630907654762268,0.33924421668052673,0.036381274461746216,0.1318303346633911,0.16373582184314728,0.326473206281662,0.19518017768859863,0.008860254660248756,0.164434552192688,0.03039412572979927,0.40602871775627136,0.20820991694927216,0.12552522122859955,0.30572831630706787,0.6203753352165222,0.3008909821510315,0.3411019444465637,0.1397085338830948,0.5803654789924622,0.13263347744941711,0.6566914319992065,0.7638269066810608,0.017956223338842392,0.34284883737564087,0.10916869342327118,0.3224560022354126,0.08004237711429596,0.25247639417648315,0.05147848278284073,0.22776955366134644,0.33256796002388,0.3705291748046875,0.548026442527771,0.36227113008499146,0.5905481576919556
can,0.08655372262001038,0.05874953046441078,0.05056316778063774,0.07650960981845856,0.06722269207239151,-0.06852670013904572,0.12119659036397934,1.0,0.01786680519580841,0.0638469010591507,0.10175028443336487,0.06089834123849869,0.04044181853532791,0.039232492446899414,0.018508894369006157,0.050874873995780945,0.14880308508872986,0.03618963062763214,0.1670529544353485,0.10133340954780579,0.09708235412836075,0.07959995418787003,-0.006208602339029312,0.03022089973092079,0.10679379850625992,0.03838370367884636,0.09555652737617493,0.06132696941494942,0.09279788285493851,0.07490968704223633,-0.007586527615785599,0.05614013597369194,-0.030766882002353668,0.009284712374210358,0.03156773000955582,0.02475687861442566,0.013918422162532806,0.10613274574279785,0.13402657210826874,0.07444740831851959,0.058037228882312775,0.07464288920164108,0.12201690673828125,0.014108072966337204,0.03969006985425949,0.010669484734535217,0.05525229871273041,0.057523149996995926,0.058122117072343826,0.0844271183013916,0.057418204843997955,0.05809185281395912,-0.0023947767913341522,0.06869196891784668,0.09416293352842331,0.0018224455416202545,0.08850783854722977,0.07714859396219254,0.08653505146503448,0.06021616980433464,0.02841958776116371,-0.024550389498472214,0.061163246631622314,0.07467574626207352,0.08918316662311554,-0.02266756445169449,0.13723844289779663,0.07663659751415253,0.017941415309906006,0.07538076490163803,0.034184955060482025,0.07710583508014679,-0.029195556417107582,0.02923336997628212,0.06806585192680359,0.04356226697564125,0.014352578669786453,0.026454724371433258,0.09182088077068329,0.044868048280477524,0.10090119391679764,0.04704466089606285,0.04454488679766655,0.06850877404212952,0.12750810384750366,0.04017779603600502,0.059540294110774994,0.1103752851486206,0.015814514830708504,0.12988543510437012,0.11159399896860123,-0.0326412133872509,0.11604669690132141,0.05829373747110367,0.0888356864452362,0.02874188870191574,0.010101363994181156,0.015308399684727192
can_opener,0.1468391716480255,0.1765131652355194,0.08664263784885406,0.07568101584911346,0.29000324010849,0.307685524225235,0.22223250567913055,0.01786680519580841,1.0,0.020027630031108856,0.10536813735961914,0.3818363845348358,0.001295723021030426,0.03787655755877495,-0.04729331284761429,0.3621615171432495,0.2704848647117615,0.37876075506210327,0.24164080619812012,-0.045299679040908813,0.3250705599784851,0.2906987965106964,0.08735714852809906,0.017455197870731354,0.26844581961631775,0.22226127982139587,0.16152305901050568,0.2988274395465851,0.27351415157318115,0.1955139935016632,0.1667606234550476,0.20099638402462006,0.2770625650882721,-0.01498929038643837,0.10695277154445648,0.13037487864494324,0.16779208183288574,0.30505824089050293,0.09665429592132568,0.2138804793357849,0.035651132464408875,0.18198847770690918,0.17030882835388184,0.2455929070711136,0.06929327547550201,0.05424300208687782,0.12784412503242493,0.24252831935882568,0.2896762490272522,0.09659706801176071,0.05966004356741905,0.21509569883346558,0.24605149030685425,0.18018537759780884,0.25684645771980286,0.03946802020072937,0.2056427001953125,0.2612864673137665,0.17806224524974823,0.0022084303200244904,-0.03305796906352043,0.1579580157995224,0.07400952279567719,0.325949490070343,0.19896477460861206,0.03794138878583908,0.12867063283920288,0.1258402168750763,0.060171112418174744,0.09895319491624832,0.06712892651557922,0.28655269742012024,0.27526795864105225,0.3362088203430176,0.21218052506446838,0.12956541776657104,0.16483986377716064,0.21396568417549133,0.055105917155742645,0.39039623737335205,0.25694093108177185,0.1116931140422821,-0.05999897047877312,0.20254522562026978,0.32287728786468506,0.02212996780872345,0.043478868901729584,0.1781628131866455,0.2591038942337036,0.16559505462646484,0.1314486414194107,-0.0014774445444345474,0.11907006055116653,0.24865040183067322,0.050841208547353745,0.21784819662570953,0.055050015449523926,0.18768569827079773
candle,0.07299935817718506,0.21974781155586243,0.12764972448349,0.10752460360527039,0.12901300191879272,0.15756770968437195,0.024149766191840172,0.0638469010591507,0.020027630031108856,1.0,0.050948191434144974,0.0877034068107605,0.1159629374742508,0.25104013085365295,0.15244878828525543,0.17243124544620514,0.19584769010543823,0.1297788918018341,0.1265190839767456,0.003698907792568207,0.224731907248497,0.1381484419107437,0.03749072179198265,0.009928226470947266,0.1201009526848793,0.09963206201791763,0.09939204156398773,0.10071850568056107,0.11533074080944061,0.049460045993328094,0.08702848851680756,0.17554500699043274,0.3082466721534729,0.02386067807674408,0.06498934328556061,0.008691459894180298,0.05190563574433327,0.062212616205215454,-0.04317478835582733,0.023023786023259163,0.09576095640659332,0.0599961131811142,0.20766368508338928,0.10170450806617737,0.09212300181388855,0.05049394816160202,0.17859148979187012,0.10508856922388077,0.06265750527381897,0.07073168456554413,0.051762185990810394,0.19186557829380035,0.07536035776138306,0.0729900598526001,0.13725347816944122,0.08046828210353851,0.11032150685787201,0.19697998464107513,0.11660157144069672,0.0938352420926094,0.2482563853263855,0.11367450654506683,0.15437406301498413,0.060204651206731796,0.11847331374883652,0.10210870951414108,0.0864894762635231,0.1012217104434967,0.08092966675758362,0.22790083289146423,-0.014349639415740967,0.04527862370014191,0.07033652067184448,-0.011604789644479752,0.1492127776145935,0.17796690762043,0.07530626654624939,0.12156900763511658,0.0545198991894722,0.1905076950788498,0.12245640158653259,0.09062305092811584,0.02013763226568699,0.09859871119260788,0.091991126537323,0.09692838788032532,0.18023274838924408,0.10494467616081238,0.1437501311302185,0.11725085228681564,0.02967723459005356,0.07778292894363403,-0.015891246497631073,0.033948443830013275,0.12459306418895721,0.09715094417333603,0.0912618339061737,0.16296865046024323
